Neh 1:1
λόγον N2--ASM--- λόγος
ὃν RR--ASM--- ὅς
ἐνετείλω VAI-AMI2S- τέλλω ἐν
τῷ RA--DSM--- ὁ
Μωυσῇ N1M-DSM--- Μωυσῆς
παιδί N3D-DSM--- παῖς
σου RP--GS---- σύ
λέγων V1--PAPNSM λέγω
ὑμεῖς RP--NP---- σύ
ἐὰν C--------- ἐάν
ἀσυνθετήσητε VA--AAS2P- ἀσυνθετέω
ἐγὼ RP--NS---- ἐγώ
διασκορπιῶ VF2-FAI1S- σκορπίζω δια
ὑμᾶς RP--AP---- σύ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
λαοῖς N2--DPM--- λαός

Neh 1:9
καὶ C--------- καί
ἐὰν C--------- ἐάν
ἐπιστρέψητε VA--AAS2P- στρέφω ἐπι
πρός P--------- πρός
με RP--AS---- ἐγώ
καὶ C--------- καί
φυλάξητε VA--AAS2P- φυλάσσω
τὰς RA--APF--- ὁ
ἐντολάς N1--APF--- ἐντολή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ποιήσητε VA--AAS2P- ποιέω
αὐτάς RD--APF--- αὐτός
ἐὰν C--------- ἐάν
ᾖ V9--PAS3S- εἰμί
ἡ RA--NSF--- ὁ
διασπορὰ N1A-NSF--- διασπορά
ὑμῶν RP--GP---- σύ
ἀπ' P--------- ἀπό
ἄκρου A1A-GSM--- ἄκρος
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἐκεῖθεν D--------- ἐκεῖθεν
συνάξω VF--FAI1S- ἄγω συν
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
εἰσάξω VF--FAI1S- ἄγω εἰς
αὐτοὺς RD--APM--- αὐτός
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
ὃν RR--ASM--- ὅς
ἐξελεξάμην VAI-AMI1S- λέγω ἐκ
κατασκηνῶσαι VA--AAN--- σκηνάω κατα
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
μου RP--GS---- ἐγώ
ἐκεῖ D--------- ἐκεῖ

Neh 1:10
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
παῖδές N3D-NPM--- παῖς
σου RP--GS---- σύ
καὶ C--------- καί
λαός N2--NSM--- λαός
σου RP--GS---- σύ
οὓς RR--APM--- ὅς
ἐλυτρώσω VAI-AMI2S- λυτρόω
ἐν P--------- ἐν
δυνάμει N3I-DSF--- δύναμις
σου RP--GS---- σύ
τῇ RA--DSF--- ὁ
μεγάλῃ A1--DSF--- μέγας
καὶ C--------- καί
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
χειρί N3--DSF--- χείρ
σου RP--GS---- σύ
τῇ RA--DSF--- ὁ
κραταιᾷ A1A-DSF--- κραταιός

Neh 1:11
μὴ D--------- μή
δή X--------- δή
κύριε N2--VSM--- κύριος
ἀλλ' C--------- ἀλλά
ἔστω V9--PAD3S- εἰμί
τὸ RA--NSN--- ὁ
οὖς N3--NSN--- οὖς
σου RP--GS---- σύ
προσέχον V1--PAPNSN ἔχω προς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
προσευχὴν N1--ASF--- προσευχή
τοῦ RA--GSM--- ὁ
δούλου N2--GSM--- δοῦλος
σου RP--GS---- σύ
καὶ C--------- καί
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
προσευχὴν N1--ASF--- προσευχή
παίδων N3D-GPM--- παῖς
σου RP--GS---- σύ
τῶν RA--GPM--- ὁ
θελόντων V1--PAPGPM θέλω
φοβεῖσθαι V2--PMN--- φοβέω
τὸ RA--ASN--- ὁ
ὄνομά N3M-ASN--- ὄνομα
σου RP--GS---- σύ
καὶ C--------- καί
εὐόδωσον VA--AAD2S- εὐοδόω
δὴ X--------- δή
τῷ RA--DSM--- ὁ
παιδί N3D-DSM--- παῖς
σου RP--GS---- σύ
σήμερον D--------- σήμερον
καὶ C--------- καί
δὸς VO--AAD2S- δίδωμι
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
οἰκτιρμοὺς N2--APM--- οἰκτιρμός
ἐνώπιον P--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
ἀνδρὸς N3--GSM--- ἀνήρ
τούτου RD--GSM--- οὗτος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
ἤμην V9--IMI1S- εἰμί
οἰνοχόος N2--NSN--- οἰνοχόος
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς

Neh 2:1
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
μηνὶ N3--DSM--- μήν
Νισαν N---DSM--- Νισαν
ἔτους N3E-GSN--- ἔτος
εἰκοστοῦ A1--GSN--- εἰκοστός
Αρθασασθα N---DSM--- Αρθασασθα
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
ἦν V9--IAI3S- εἰμί
ὁ RA--NSM--- ὁ
οἶνος N2--NSM--- οἶνος
ἐνώπιον P--------- ἐνώπιον
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
ἔλαβον VBI-AAI1S- λαμβάνω
τὸν RA--ASM--- ὁ
οἶνον N2--ASM--- οἶνος
καὶ C--------- καί
ἔδωκα VAI-AAI1S- δίδωμι
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
ἕτερος A1A-NSM--- ἕτερος
ἐνώπιον P--------- ἐνώπιον
αὐτοῦ RD--GSM--- αὐτός

Neh 2:2
καὶ C--------- καί
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
διὰ P--------- διά
τί RI--ASN--- τίς
τὸ RA--NSN--- ὁ
πρόσωπόν N2N-NSN--- πρόσωπον
σου RP--GS---- σύ
πονηρὸν A1A-NSN--- πονηρός
καὶ C--------- καί
οὐκ D--------- οὐ
εἶ V9--PAI2S- εἰμί
μετριάζων V1--PAPNSM μετριάζω
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
τοῦτο RD--NSN--- οὗτος
εἰ C--------- εἰ
μὴ D--------- μή
πονηρία N1A-NSF--- πονηρία
καρδίας N1A-GSF--- καρδία
καὶ C--------- καί
ἐφοβήθην VCI-API1S- φοβέω
πολὺ A3U-ASN--- πολύς
σφόδρα D--------- σφόδρα

Neh 2:3
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ὁ RA--VSM--- ὁ
βασιλεὺς N3V-VSM--- βασιλεύς
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
αἰῶνα N3W-ASM--- αἰών
ζήτω V2--PAD3S- ζητέω
διὰ P--------- διά
τί RI--ASN--- τίς
οὐ D--------- οὐ
μὴ D--------- μή
γένηται VB--AMS3S- γίγνομαι
πονηρὸν A1A-NSN--- πονηρός
τὸ RA--NSN--- ὁ
πρόσωπόν N2N-NSN--- πρόσωπον
μου RP--GS---- ἐγώ
διότι C--------- διότι
ἡ RA--NSF--- ὁ
πόλις N3I-NSF--- πόλις
οἶκος N2--NSM--- οἶκος
μνημείων N2N-GPN--- μνημεῖον
πατέρων N3--GPM--- πατήρ
μου RP--GS---- ἐγώ
ἠρημώθη VCI-API3S- ἐρημόω
καὶ C--------- καί
αἱ RA--NPF--- ὁ
πύλαι N1--NPF--- πύλη
αὐτῆς RD--GSF--- αὐτός
κατεβρώθησαν VCI-API3P- βιβρώσκω κατα
ἐν P--------- ἐν
πυρί N3--DSN--- πῦρ

Neh 2:4
καὶ C--------- καί
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεύς N3V-NSM--- βασιλεύς
περὶ P--------- περί
τίνος RI--GSN--- τίς
τοῦτο RD--ASN--- οὗτος
σὺ RP--NS---- σύ
ζητεῖς V2--PAI2S- ζητέω
καὶ C--------- καί
προσηυξάμην VAI-AMI1S- εὔχομαι προς
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός

Neh 2:5
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
εἰ C--------- εἰ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ἀγαθόν A1--ASM--- ἀγαθός
καὶ C--------- καί
εἰ C--------- εἰ
ἀγαθυνθήσεται VC--FPI3S- ἀγαθύνω
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
σου RP--GS---- σύ
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
ὥστε C--------- ὥστε
πέμψαι VA--AAN--- πέμπω
αὐτὸν RD--ASM--- αὐτός
εἰς P--------- εἰς
Ιουδα N---ASM--- Ἰουδά
εἰς P--------- εἰς
πόλιν N3I-ASF--- πόλις
μνημείων N2N-GPN--- μνημεῖον
πατέρων N3--GPM--- πατήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἀνοικοδομήσω VF--FAI1S- οἰκοδομέω ἀνα
αὐτήν RD--ASF--- αὐτός

Neh 2:6
καὶ C--------- καί
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
ἡ RA--NSF--- ὁ
παλλακὴ N1--NSF--- παλλακή
ἡ RA--NSF--- ὁ
καθημένη V5--PMPNSF ἧμαι κατα
ἐχόμενα V1--PMPAPN ἔχω
αὐτοῦ RD--GSM--- αὐτός
ἕως D--------- ἕως
πότε D--------- πότε
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
πορεία N1A-NSF--- πορεία
σου RP--GS---- σύ
καὶ C--------- καί
πότε D--------- πότε
ἐπιστρέψεις VF--FAI2S- στρέφω ἐπι
καὶ C--------- καί
ἠγαθύνθη VCI-API3S- ἀγαθύνω
ἐνώπιον D--------- ἐνώπιον
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἀπέστειλέν VAI-AAI3S- στέλλω ἀπο
με RP--AS---- ἐγώ
καὶ C--------- καί
ἔδωκα VAI-AAI1S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
ὅρον N2--ASM--- ὅρος

Neh 2:7
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
εἰ C--------- εἰ
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
ἀγαθόν A1--ASM--- ἀγαθός
δότω VO--AAD3S- δίδωμι
μοι RP--DS---- ἐγώ
ἐπιστολὰς N1--APF--- ἐπιστολή
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἐπάρχους N2--APM--- ἔπαρχος
πέραν D--------- πέραν
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
ὥστε C--------- ὥστε
παραγαγεῖν VB--AAN--- ἄγω παρα
με RP--AS---- ἐγώ
ἕως C--------- ἕως
ἔλθω VB--AAS1S- ἔρχομαι
ἐπὶ P--------- ἐπί
Ιουδαν N1T-ASM--- Ἰούδας

Neh 2:8
καὶ C--------- καί
ἐπιστολὴν N1--ASF--- ἐπιστολή
ἐπὶ P--------- ἐπί
Ασαφ N---ASM--- Ασαφ
φύλακα N3K-ASM--- φύλαξ
τοῦ RA--GSM--- ὁ
παραδείσου N2--GSM--- παράδεισος
ὅς RR--NSM--- ὅς
ἐστιν V9--PAI3S- εἰμί
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
ὥστε C--------- ὥστε
δοῦναί VO--AAN--- δίδωμι
μοι RP--DS---- ἐγώ
ξύλα N2N-APN--- ξύλον
στεγάσαι VA--AAN--- στεγάζω
τὰς RA--APF--- ὁ
πύλας N1--APF--- πύλη
καὶ C--------- καί
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
τεῖχος N3E-ASN--- τεῖχος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
καὶ C--------- καί
εἰς P--------- εἰς
οἶκον N2--ASM--- οἶκος
ὃν RR--ASM--- ὅς
εἰσελεύσομαι VF--FMI1S- ἔρχομαι εἰς
εἰς P--------- εἰς
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἔδωκέν VAI-AAI3S- δίδωμι
μοι RP--DS---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ὡς C--------- ὡς
χεὶρ N3--NSF--- χείρ
θεοῦ N2--GSM--- θεός
ἡ RA--NSF--- ὁ
ἀγαθή A1--NSF--- ἀγαθός

Neh 2:9
καὶ C--------- καί
ἦλθον VBI-AAI1S- ἔρχομαι
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
ἐπάρχους N2--APM--- ἔπαρχος
πέραν D--------- πέραν
τοῦ RA--GSM--- ὁ
ποταμοῦ N2--GSM--- ποταμός
καὶ C--------- καί
ἔδωκα VAI-AAI1S- δίδωμι
αὐτοῖς RD--DPM--- αὐτός
τὰς RA--APF--- ὁ
ἐπιστολὰς N1--APF--- ἐπιστολή
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
ἀρχηγοὺς N2--APM--- ἀρχηγός
δυνάμεως N3I-GSF--- δύναμις
καὶ C--------- καί
ἱππεῖς N3V-NPM--- ἱππεύς

Neh 2:10
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω
Σαναβαλλατ N---NSM--- Σαναβαλλατ
ὁ RA--NSM--- ὁ
Αρωνι N---NSM--- Αρωνι
καὶ C--------- καί
Τωβια N---NSM--- Τωβια
ὁ RA--NSM--- ὁ
δοῦλος N2--NSM--- δοῦλος
ὁ RA--NSM--- ὁ
Αμμωνι N---NSM--- Αμμωνι
καὶ C--------- καί
πονηρὸν A1A-ASM--- πονηρός
αὐτοῖς RD--DPM--- αὐτός
ἐγένετο VBI-AMI3S- γίγνομαι
ὅτι C--------- ὅτι
ἥκει V1--PAI3S- ἥκω
ἄνθρωπος N2--NSM--- ἄνθρωπος
ζητῆσαι VA--AAN--- ζητέω
ἀγαθὸν A1--ASN--- ἀγαθός
τοῖς RA--DPM--- ὁ
υἱοῖς N2--DPM--- υἱός
Ισραηλ N---GSM--- Ἰσραήλ

Neh 2:11
καὶ C--------- καί
ἦλθον VBI-AAI1S- ἔρχομαι
εἰς P--------- εἰς
Ιερουσαλημ N---ASF--- Ἰερουσαλήμ
καὶ C--------- καί
ἤμην V9--IMI1S- εἰμί
ἐκεῖ D--------- ἐκεῖ
ἡμέρας N1A-APF--- ἡμέρα
τρεῖς M---APF--- τρεῖς

Neh 2:12
καὶ C--------- καί
ἀνέστην VHI-AAI1S- ἵστημι ἀνα
νυκτὸς N3--GSF--- νύξ
ἐγὼ RP--NS---- ἐγώ
καὶ C--------- καί
ἄνδρες N3--NPM--- ἀνήρ
ὀλίγοι A1--NPM--- ὀλίγος
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπήγγειλα VAI-AAI1S- ἀγγέλλω ἀπο
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
τί RI--ASN--- τίς
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
δίδωσιν V8--PAI3S- δίδωμι
εἰς P--------- εἰς
καρδίαν N1A-ASF--- καρδία
μου RP--GS---- ἐγώ
τοῦ RA--GSN--- ὁ
ποιῆσαι VA--AAN--- ποιέω
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
Ισραηλ N---GSM--- Ἰσραήλ
καὶ C--------- καί
κτῆνος N3E-NSN--- κτῆνος
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
εἰ C--------- εἰ
μὴ D--------- μή
τὸ RA--NSN--- ὁ
κτῆνος N3E-NSN--- κτῆνος
ᾧ RR--DSN--- ὅς
ἐγὼ RP--NS---- ἐγώ
ἐπιβαίνω V1--PAI1S- βαίνω ἐπι
ἐπ' P--------- ἐπί
αὐτῷ RD--DSN--- αὐτός

Neh 2:13
καὶ C--------- καί
ἐξῆλθον VBI-AAI1S- ἔρχομαι ἐκ
ἐν P--------- ἐν
πύλῃ N1--DSF--- πύλη
τοῦ RA--GSM--- ὁ
γωληλα N---GSM--- γωληλα
καὶ C--------- καί
πρὸς P--------- πρός
στόμα N3M-ASN--- στόμα
πηγῆς N1--GSF--- πηγή
τῶν RA--GPF--- ὁ
συκῶν N1--GPF--- συκῆ
καὶ C--------- καί
εἰς P--------- εἰς
πύλην N1--ASF--- πύλη
τῆς RA--GSF--- ὁ
κοπρίας N1A-GSF--- κοπρία
καὶ C--------- καί
ἤμην V9--IMI1S- εἰμί
συντρίβων V1--PAPNSM τρίβω συν
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
τείχει N3E-DSN--- τεῖχος
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ὃ RR--NSM--- ὅς
αὐτοὶ RD--NPM--- αὐτός
καθαιροῦσιν V2--PAI3P- αἱρέω κατα
καὶ C--------- καί
πύλαι N1--NPF--- πύλη
αὐτῆς RD--GSF--- αὐτός
κατεβρώθησαν VCI-API3P- βιβρώσκω κατα
πυρί N3--DSN--- πῦρ

Neh 2:14
καὶ C--------- καί
παρῆλθον VBI-AAI1S- ἔρχομαι παρα
ἐπὶ P--------- ἐπί
πύλην N1--ASF--- πύλη
τοῦ RA--GSM--- ὁ
Αιν N---GSM--- Αιν
καὶ C--------- καί
εἰς P--------- εἰς
κολυμβήθραν N1A-ASF--- κολυμβήθρα
τοῦ RA--GSM--- ὁ
βασιλέως N3V-GSM--- βασιλεύς
καὶ C--------- καί
οὐκ D--------- οὐ
ἦν V9--IAI3S- εἰμί
τόπος N2--NSM--- τόπος
τῷ RA--DSN--- ὁ
κτήνει N3E-DSN--- κτῆνος
παρελθεῖν VB--AAN--- ἔρχομαι παρα
ὑποκάτω D--------- ὑποκάτω
μου RP--GS---- ἐγώ

Neh 2:15
καὶ C--------- καί
ἤμην V9--IMI1S- εἰμί
ἀναβαίνων V1--PAPNSM βαίνω ἀνα
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
τείχει N3E-DSN--- τεῖχος
χειμάρρου N2--GSM--- χειμάρρους
νυκτὸς N3--GSF--- νύξ
καὶ C--------- καί
ἤμην V9--IMI1S- εἰμί
συντρίβων V1--PAPNSM τρίβω συν
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
τείχει N3E-DSN--- τεῖχος
καὶ C--------- καί
ἤμην V9--IMI1S- εἰμί
ἐν P--------- ἐν
πύλῃ N1--DSF--- πύλη
τῆς RA--GSF--- ὁ
φάραγγος N3G-GSF--- φάραγξ
καὶ C--------- καί
ἐπέστρεψα VAI-AAI1S- στρέφω ἐπι

Neh 2:16
καὶ C--------- καί
οἱ RA--NPM--- ὁ
φυλάσσοντες V1--PAPNPM φυλάσσω
οὐκ D--------- οὐ
ἔγνωσαν VZI-AAI3P- γιγνώσκω
τί RI--ASN--- τίς
ἐπορεύθην VCI-API1S- πορεύομαι
καὶ C--------- καί
τί RI--ASN--- τίς
ἐγὼ RP--NS---- ἐγώ
ποιῶ V2--PAI1S- ποιέω
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
